id,city_id,approve_url
113,24,https://www.city.atami.lg.jp/jigyosha/kigyoshien/1012617.html
114,31,http://www.town.oyodo.lg.jp/contents_detail.php?co=kak&frmId=1005
116,17,NULL
117,3,https://www.city.towada.lg.jp/sangyo/nourin/nougyou/dojou-hojo.html
118,28,http://www.town.kasagi.lg.jp/contents_detail.php?co=kak&frmId=1122
119,31,https://www.city.sakurai.lg.jp/cyumoku/1620263592336.html
122,3,"https://www.city.misawa.lg.jp/index.cfm/10,35463,93,434,html"
124,31,https://www.town.sango.nara.jp/site/covid-19/2450.html
125,24,http://www.city.mishima.shizuoka.jp/bousai/detail007786.html
126,17,NULL
127,14,https://www.city.sammu.lg.jp/page/page002687.html
128,28,"https://www.city.kizugawa.lg.jp/index.cfm/20,1779,32,html"
129,31,https://www.town.shimoichi.lg.jp/0000000420.html
130,17,https://www.city.gosen.lg.jp/organization/10/2/984.html
131,24,http://www.city.fujinomiya.lg.jp/citizen/iiosmo0000004xc0.html
132,14,https://www.city.isumi.lg.jp/soshikikarasagasu/child_care/kosodateshienshitsu/3/5197.html
133,17,NULL
134,3,http://www.city.mutsu.lg.jp/bunka/sports/shounendan/suports_hozyokin.html
135,31,http://www.town.takatori.nara.jp/contents_detail.php?co=cat&frmId=1067&frmCd=5-9-1-0-0
136,24,https://www.city.ito.shizuoka.jp/gyosei/soshikikarasagasu/shakaifukushika/kenko_fukushi/1/seikatuhogo/9901.html
138,3,http://www.city.tsugaru.aomori.jp/soshiki/fukushi/kosodatekenkou/jidoufukushi/6502.html
139,31,http://www.town.tawaramoto.nara.jp/soshki/sangyo/tiiki/bushiness/syoukou/yushi/550.html
140,3,https://www.city.hirakawa.lg.jp/fukushi/oshirase/juminzeihikazeisetai_rinjitokubetukyuhukin.html
142,17,https://www.city.itoigawa.lg.jp/7582.htm
143,31,https://www.city.tenri.nara.jp/kakuka/kenkoufukushibu/kenkousuishinka/seijin_hoken/gannkennsinn/1490606170933.html
144,24,https://www.city.shimada.shizuoka.jp/kurashi-docs/303475188.html
145,3,"http://www.town.hiranai.aomori.jp/index.cfm/11,0,16,216,html"
146,17,https://www.town.izumozaki.niigata.jp:443/kanko/seisaku/hotelmaintenance.html
147,3,https://www.town.imabetsu.lg.jp/news/gyousei/2022-1005-2114-1.html
148,14,http://www.town.sakae.chiba.jp/page/page005165.html
149,31,https://www.city.uda.nara.jp/c-shinkou/kurashi/sumai/teijuusokushin.html
151,3,NULL
152,31,https://www.city.yamatokoriyama.lg.jp/kurashi_tetsuzuki/seikatu/jogesuido/josuido/4/12187.html
153,17,https://www.city.joetsu.niigata.jp/soshiki/fukusi/lifeguide-fukushi-1.html
154,3,NULL
155,14,https://www.town.tako.chiba.jp/docs/2022060200013/
156,31,https://www.city.yamatotakada.nara.jp/soshikikarasagasu/shiminka/5555.html
157,24,https://www.city.fuji.shizuoka.jp/kenkou/c0106/fmervo000000h0uf.html
158,28,https://www.town.kumiyama.lg.jp/0000002508.html
159,3,http://www.town.ajigasawa.lg.jp/20220809ooamesaigai/bousai02202.html
160,28,https://www.town.kyotamba.kyoto.jp/iryo_kenko_fukushi/iryo_kenko/kenshin_kenshin/3816.html
161,24,https://www.city.iwata.shizuoka.jp/bousai_anzen/bouhan/1005507.html
162,31,https://www.vill.yamazoe.nara.jp/life/news/17481
163,17,https://www.city.kamo.niigata.jp/docs/30208.html
164,24,http://www.city.yaizu.lg.jp/bousai/earthquake/katei/support/breaker.html
165,24,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/10186.html
166,28,https://www.city.kyotango.lg.jp/top/kurashi/kankyo/5/17369.html
167,31,http://www.town.yoshino.nara.jp/oshirase/news/post-319.html
168,17,NULL
169,17,NULL
170,49,NULL
171,17,https://www.city.kashiwazaki.lg.jp/kanko_bunka_sports/bunka/bunkajigyo/2/18132.html
172,24,https://www.city.fujieda.shizuoka.jp/soshiki/kodomomirai/kodomo/oshirase/17466.html
173,20,https://www.pref.fukui.lg.jp/doc/016407/kateifukusi/r04.html
174,3,https://www.town.fukaura.lg.jp/fixed_docs/2019071100333/
175,3,http://www.nishimeya.jp/kurashi/dekigoto/corona/post-171.html
176,3,"http://www.town.fujisaki.lg.jp/index.cfm/1,13293,80,356,html"
177,20,http://www.city.fukui.lg.jp/kurasi/bosai/bosai/p021129.html
178,49,http://www.chatan.jp/kenko_fukushi/seikatsushien/hikazeisetaikyuuhu.html
179,28,https://www.vill.minamiyamashiro.lg.jp/0000001843.html
180,49,https://www.city.ginowan.lg.jp/kosodate_kyoiku/kosodate/3/3447.html
181,49,https://www.vill.higashi.okinawa.jp/oshirase/1482.html
182,49,https://www.iejima.org/document/2021082500033/
183,20,https://www.city.tsuruga.lg.jp/about_city/business/seido/rishihokyuu.html
184,17,NULL
185,24,https://www.city.hamamatsu.shizuoka.jp/noushin/keiekkeisyou.html
186,49,https://www.city.ishigaki.okinawa.jp/soshiki/kanko_bunka/covid19_kanko/6612.html
187,20,http://www1.city.obama.fukui.jp/kosodate-kyoiku/hoiku-kosodate/kosodateshien/p005822.html
188,17,NULL
189,3,"http://www.town.owani.lg.jp/index.cfm/7,10972,89,html"
190,20,http://www.city.ono.fukui.jp/kenko/kyukyu-iryou/yobousesshu/kenko00120220.html
191,49,http://www.city.itoman.lg.jp/docs/2021071200067/
192,20,http://www.city.katsuyama.fukui.jp/site/corona/21328.html
193,28,https://www.city.miyazu.kyoto.jp/site/kosodate/11194.html
194,17,NULL
195,20,https://www.city.sabae.fukui.jp/anzen_anshin/akiya_akichi_taisaku/akiya_hojokin/Bosai2021_01.html
196,3,http://www.vill.inakadate.lg.jp/docs/2020101300012/
197,49,NULL
198,17,https://www.city.minamiuonuma.niigata.jp/docs/1359.html
199,49,NULL
200,28,https://www.city.muko.kyoto.jp/kurashi/soshiki/biminnsabisubu/4/1/6/1618563420256.html
201,49,https://www.town.kumejima.okinawa.jp/docs/2022082900014/
202,17,https://www.city.mitsuke.niigata.jp/15599.htm
203,24,https://www.city.fukuroi.shizuoka.jp/soshiki/12/1/teate/9951.html
204,28,http://www.city.nagaokakyo.lg.jp/0000004967.html
205,17,https://www.city.murakami.lg.jp/site/0803saigai/murakamishihisaizidoushashienkin.html
206,49,NULL
207,28,https://www.city.nantan.kyoto.jp/www/life/106/005/000/index_76119.html
208,3,NULL
209,24,https://www.city.shimoda.shizuoka.jp/category/020200gesuidou/148853.html
210,17,https://www.city.myoko.niigata.jp/docs/2952.html
211,49,https://www.city.nago.okinawa.jp/articles/2020093000051/
212,24,http://www.city.susono.shizuoka.jp/kurashi/7/6/15494.html
213,24,https://www.city.kosai.shizuoka.jp/soshikiichiran/haikibutsutaisakuka/gyomuannai/5/1/11161.html
214,17,https://www.city.nagaoka.niigata.jp/fukushi/cate01/adult/influenza.html
215,3,NULL
216,24,http://www.city.izu.shizuoka.jp/gyousei/gyousei_detail000455.html
217,28,https://www.town.seika.kyoto.jp/chosei/kankyo_taisaku/1/5049.html
218,17,https://www.city.niigata.lg.jp:443/business/growing/ICTsangyo/ICTjinzai/kigyoinov.html
219,24,https://www.city.omaezaki.shizuoka.jp/kurashi/kenko_iryo_kaigo/fukushi_kaigo/fukushijigyo/6612.html
220,49,https://www.city.naha.okinawa.jp/child/kosodateouen/kodomoiryouhijyosei/202200901.html
221,24,http://www.city.kikugawa.shizuoka.jp/choujukaigo/koureishadanntaihenojosei.html
222,24,https://www.city.izunokuni.shizuoka.jp/fukusi/20200401.html
223,49,https://www.vill.nakagusuku.okinawa.jp/detail.jsp?id=100321&type=TopicsTopPage&select=&funcid=2&editMode=
224,28,https://www.town.ujitawara.kyoto.jp/shigoto_sangyo/koyo_shugyo/1825.html
225,17,NULL
226,24,https://www.city.makinohara.shizuoka.jp/site/makinohara-life/344.html
227,49,https://www.nakijin.jp/pagtop/kakuka/somuka/3026.html
228,24,NULL
229,17,NULL
230,20,https://www.city.awara.lg.jp/bosyuu/p011899.html
231,24,https://www.town.kawazu.shizuoka.jp/choumin/purpose05/kyoikushikinrishihokyu/
232,49,https://www.city.nanjo.okinawa.jp/jigyosha/gyogyou/1625204558/
233,28,https://www.town.wazuka.lg.jp/juyo/3137.html
234,20,http://www.city.echizen.lg.jp/office/030/080/keiyakukennsa/kensetsu_koji/nyuusatujyouhou/keieikyoukayuusi.html
235,17,https://www.city.ojiya.niigata.jp/soshiki/fukushi/jiritsushienkin.html
236,17,https://www.city.sado.niigata.jp/site/coronavirus/17363.html
237,24,https://www.town.minamiizu.shizuoka.jp/docs/2022030400016/
238,17,https://www.city.sanjo.niigata.jp/kenko_fukushi/seikatsuhogo/14543.html
239,26,https://www.city.kumano.lg.jp/main/korona_index/220822korona_seikatusien.html
240,28,https://www.city.yawata.kyoto.jp/0000006594.html
241,17,https://www.town.seiro.niigata.jp/hokenfukusi/20220916tokuteifunin.html
242,20,http://www.city.fukui-sakai.lg.jp/fukushisomu/fukushi/shien/hikkazei22.html
243,17,http://www.vill.sekikawa.niigata.jp/life/1227/1228/4503/index.html
244,28,https://www.city.kyoto.lg.jp/hagukumi/page/0000247118.html
245,17,https://www.city.shibata.lg.jp/jigyosha/koyou/roudou/1018178.html
246,20,http://www.town.eiheiji.lg.jp/1029/1030/p002810.html
247,24,https://www.town.matsuzaki.shizuoka.jp/docs/2017070500024/
248,28,https://www.city.kyoto.lg.jp/hagukumi/page/0000247118.html
249,20,http://www.town.ikeda.fukui.jp/kurashi/fukushi/1304/p002714.html
